Python,Java,JavaScript,SQL,Machine Learning,Deep Learning,Data Analysis,Statistics,HTML & CSS,React,Node.js,AWS,Docker,Kubernetes,Networking,Linux,Ethical Hacking,Communication,Problem Solving,Mathematics Level,Logical Reasoning,Creativity,career_label
5,1,0,4,5,4,4,5,0,0,0,3,3,2,1,3,0,3,4,5,5,3,Machine Learning Engineer
4,1,0,4,5,4,3,5,0,0,0,3,2,2,1,3,0,3,4,4,5,3,Machine Learning Engineer
5,0,0,3,4,4,4,5,0,0,0,2,3,2,1,2,0,3,4,5,5,3,Machine Learning Engineer
4,0,0,4,5,3,4,4,0,0,0,3,2,1,1,3,0,3,4,5,4,3,Machine Learning Engineer
5,1,0,4,4,3,5,5,0,0,0,2,1,0,1,2,0,3,4,5,4,3,Data Scientist
4,0,0,4,4,3,5,4,0,0,0,2,1,0,1,2,0,3,4,4,4,3,Data Scientist
5,1,0,3,4,2,4,5,0,0,0,1,1,0,1,2,0,3,4,5,4,3,Data Scientist
4,0,0,4,3,3,5,4,0,0,0,2,1,0,1,1,0,3,4,4,4,3,Data Scientist
4,0,0,5,2,1,5,4,0,0,0,1,0,0,1,1,0,3,4,3,4,2,Data Analyst
3,0,0,5,2,1,5,4,0,0,0,1,0,0,1,1,0,3,4,3,4,2,Data Analyst
4,0,0,4,2,1,4,4,0,0,0,1,0,0,1,1,0,3,4,3,3,2,Data Analyst
3,0,0,5,1,1,5,3,0,0,0,1,0,0,1,1,0,3,4,2,4,2,Data Analyst
5,0,0,3,5,5,4,5,0,0,0,1,1,0,1,2,0,2,4,5,5,4,AI Researcher
5,0,0,3,5,4,4,5,0,0,0,1,1,0,1,2,0,2,4,5,5,4,AI Researcher
4,0,0,3,4,5,3,5,0,0,0,1,1,0,1,2,0,2,4,5,5,4,AI Researcher
4,4,1,5,1,0,2,2,0,0,4,2,2,0,2,3,0,3,5,3,4,2,Backend Developer
4,3,1,5,1,0,2,2,0,0,4,2,2,0,2,3,0,3,5,3,4,2,Backend Developer
3,4,1,4,1,0,2,2,0,0,3,2,2,0,2,3,0,3,5,3,4,2,Backend Developer
2,1,5,3,0,0,1,1,5,4,4,1,0,0,1,1,0,3,4,2,3,3,Web Developer
2,1,5,3,0,0,1,1,5,3,4,1,0,0,1,1,0,3,4,2,3,3,Web Developer
2,0,5,3,0,0,1,1,5,4,3,1,0,0,1,1,0,3,4,2,3,3,Web Developer
4,4,3,4,2,1,2,2,2,2,2,2,1,1,2,2,0,3,5,3,4,3,Software Engineer
4,3,3,4,2,1,2,2,2,2,2,2,1,1,2,2,0,3,5,3,4,3,Software Engineer
3,4,3,4,2,1,2,2,2,2,2,2,1,1,2,2,0,3,5,3,4,3,Software Engineer
3,1,0,2,1,0,1,1,0,0,0,5,5,4,4,5,0,3,4,3,4,2,DevOps Engineer
3,1,0,2,1,0,1,1,0,0,0,5,4,4,4,5,0,3,4,3,4,2,DevOps Engineer
2,1,0,2,1,0,1,1,0,0,0,4,5,3,4,4,0,3,4,3,4,2,DevOps Engineer
3,1,0,2,1,0,1,1,0,0,0,5,4,3,4,4,0,3,4,3,4,2,Cloud Engineer
3,1,0,2,1,0,1,1,0,0,0,4,4,3,4,4,0,3,4,3,4,2,Cloud Engineer
2,1,0,2,1,0,1,1,0,0,0,4,3,3,4,4,0,3,4,3,4,2,Cloud Engineer
3,0,0,2,0,0,1,1,0,0,0,1,1,0,5,5,5,3,4,3,4,2,Cyber Security Analyst
3,0,0,2,0,0,1,1,0,0,0,1,1,0,5,4,5,3,4,3,4,2,Cyber Security Analyst
2,0,0,2,0,0,1,1,0,0,0,1,1,0,4,5,5,3,4,3,4,2,Cyber Security Analyst